# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0002_bf0b1463-83ec-4e31-8c63-6dc98bfb3f0e,282,x,,,,,,165,179,,,,2,502
,,,x,,,,,103,121,,,
# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0004_c45c3235-b4f6-463e-bc15-c283a2534825,86,x,,,,,,72,95,,,,2,568
,,,x,,,,,8,19,,,
# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0006_47bb1684-d5d0-4833-acd4-522566f1d7f0,307,x,,,,,,72,89,,,,2,501
,,,x,,,,,47,65,,,
# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0007_370cacec-cc62-43bb-a754-a4229b4626b5,51,x,,,,,,90,137,,,,2,507
,,,x,,,,,23,44,,,
# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0008_d7cd8a1b-4c8f-47ca-820d-c466955a6c74,1372,x,,,,,,96,113,,,,2,505
,,,x,,,,,53,73,,,
# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0013_517be77a-61ba-4475-8d74-dbb961bf00cf,282,x,,,,,,36,49,,,,2,507
,,,x,,,,,10,22,,,
# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0015_6a4b8acc-aac9-434e-8125-0ea3c5efdced,234,x,,,,,,67,79,,,,2,581
,,,x,,,,,46,61,,,
# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0018_4bd7a429-baf3-425a-854a-9f9eff3e2b4d,2,x,,,,,,46,64,,,,2,300
,,x,,,,,,71,87,,,
,,,x,,,,,20,30,,,
# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0019_988d5554-1382-4f0f-bafb-fdf9fcd8c3f3,1471,x,,,,,,102,118,,,,2,425
,,,x,,,,,147,169,,,
# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
